Rotation: -6.228867260426774, Roll: -1.6722651760854168, Pitch: 28.223427894095504, Yaw: -0.3455641972286538, Timestamp: 1754491028958
Rotation: -6.231291101822274, Roll: -1.581840347911209, Pitch: 27.989146061531656, Yaw: 0.20501164908760128, Timestamp: 1754491028949
Rotation: -6.23410614860483, Roll: -1.482652021293321, Pitch: 27.77897422432562, Yaw: 0.7733278927361679, Timestamp: 1754491028939
Rotation: -6.23752413388603, Roll: -1.3685131785365114, Pitch: 27.595175550804374, Yaw: 1.3705318083801852, Timestamp: 1754491028929
Rotation: -6.241465863434538, Roll: -1.2414419721395862, Pitch: 27.42995408953807, Yaw: 2.0032391249952357, Timestamp: 1754491028919
Rotation: -6.245859682965682, Roll: -1.1031483114985199, Pitch: 27.273626676201083, Yaw: 2.654890114031387, Timestamp: 1754491028909
Rotation: -6.250032117047931, Roll: -0.9733472352044289, Pitch: 27.121538197631537, Yaw: 3.309930361591791, Timestamp: 1754491028899
Rotation: -6.253460498936734, Roll: -0.8670281788455202, Pitch: 26.97232018121929, Yaw: 3.9758805966831385, Timestamp: 1754491028889
Rotation: -6.255990100600952, Roll: -0.7880951343944816, Pitch: 26.82306211568144, Yaw: 4.662345905504292, Timestamp: 1754491028879
Rotation: -6.257662044559133, Roll: -0.7347614229265743, Pitch: 26.671338103049347, Yaw: 5.372182874969253, Timestamp: 1754491028869
Rotation: -6.258527646943147, Roll: -0.704996182907019, Pitch: 26.51459767437746, Yaw: 6.101918546267997, Timestamp: 1754491028859
Rotation: -6.258772649185172, Roll: -0.6931108516887975, Pitch: 26.354450670163207, Yaw: 6.848529482509376, Timestamp: 1754491028849
Rotation: -6.2587354999278215, Roll: -0.6893380052246877, Pitch: 26.195723204407493, Yaw: 7.609285168577796, Timestamp: 1754491028839
Rotation: -6.258513579756334, Roll: -0.6909656107020699, Pitch: 26.044408233558766, Yaw: 8.381256918105944, Timestamp: 1754491028829
Rotation: -6.258076710795433, Roll: -0.6988350433269387, Pitch: 25.903743710173398, Yaw: 9.16159727726063, Timestamp: 1754491028819
Rotation: -6.257709187233294, Roll: -0.7050521920961944, Pitch: 25.776062401223555, Yaw: 9.942865625570468, Timestamp: 1754491028809
Rotation: -6.2577237387787195, Roll: -0.7010445184146401, Pitch: 25.66118080148147, Yaw: 10.71757747710877, Timestamp: 1754491028799
