Rotation: -6.258528274696016, Roll: -0.7490969748843657, Pitch: 27.928959135519573, Yaw: -14.149639539517889, Timestamp: 1754490887915
Rotation: -6.258332271093165, Roll: -0.7548816449512482, Pitch: 27.923531596692907, Yaw: -14.144811623699859, Timestamp: 1754490887905
Rotation: -6.258061652182908, Roll: -0.7628325983792164, Pitch: 27.915058198974297, Yaw: -14.141601617813443, Timestamp: 1754490887895
Rotation: -6.257832650595917, Roll: -0.7694613194561221, Pitch: 27.904964099899345, Yaw: -14.138929672297994, Timestamp: 1754490887885
Rotation: -6.257750043806722, Roll: -0.7716609897180802, Pitch: 27.895486879858385, Yaw: -14.13454755567608, Timestamp: 1754490887875
Rotation: -6.257844292075603, Roll: -0.7685728881764757, Pitch: 27.88847923778282, Yaw: -14.129553038145204, Timestamp: 1754490887865
Rotation: -6.258087909549183, Roll: -0.7610352636768842, Pitch: 27.88395689293522, Yaw: -14.126850350365718, Timestamp: 1754490887856
Rotation: -6.258418710119452, Roll: -0.7509370996997342, Pitch: 27.881986335717748, Yaw: -14.127480866000266, Timestamp: 1754490887845
Rotation: -6.258826410378331, Roll: -0.7386279654812599, Pitch: 27.883853095188805, Yaw: -14.130642720090577, Timestamp: 1754490887835
Rotation: -6.259234201999773, Roll: -0.7264593106900681, Pitch: 27.890443091201753, Yaw: -14.135257617637562, Timestamp: 1754490887825
Rotation: -6.259535728159374, Roll: -0.7176214709097131, Pitch: 27.900731989720697, Yaw: -14.141923117194272, Timestamp: 1754490887815
Rotation: -6.259714869179266, Roll: -0.7124886605249943, Pitch: 27.910889317272314, Yaw: -14.151437595677827, Timestamp: 1754490887805
Rotation: -6.259729189987475, Roll: -0.7122186897519142, Pitch: 27.916380188335022, Yaw: -14.161394059651927, Timestamp: 1754490887795
Rotation: -6.2596444703077605, Roll: -0.7147675314693672, Pitch: 27.91556144171004, Yaw: -14.167375320323165, Timestamp: 1754490887785
Rotation: -6.25952352784191, Roll: -0.7181782085560319, Pitch: 27.90688148591658, Yaw: -14.16768193256418, Timestamp: 1754490887775
Rotation: -6.259484529149197, Roll: -0.7189342845316449, Pitch: 27.892779314461738, Yaw: -14.162264933698037, Timestamp: 1754490887765
Rotation: -6.259680619640408, Roll: -0.712471248872845, Pitch: 27.875752520645538, Yaw: -14.152585008233016, Timestamp: 1754490887755
Rotation: -6.259987501677313, Roll: -0.7026834531696107, Pitch: 27.859526564669697, Yaw: -14.139362626875757, Timestamp: 1754490887745
Rotation: -6.260284303235538, Roll: -0.693321199025144, Pitch: 27.846957577585147, Yaw: -14.127344807051307, Timestamp: 1754490887735
Rotation: -6.260471544347615, Roll: -0.6874213213619534, Pitch: 27.839079812223236, Yaw: -14.120465655601542, Timestamp: 1754490887725
Rotation: -6.260505848008709, Roll: -0.6863394680816691, Pitch: 27.837589377096464, Yaw: -14.118007642995844, Timestamp: 1754490887715
Rotation: -6.260464619417457, Roll: -0.6877204943699635, Pitch: 27.842159524295866, Yaw: -14.121188935287636, Timestamp: 1754490887705
Rotation: -6.260230174724944, Roll: -0.6950043806197135, Pitch: 27.848449858881207, Yaw: -14.129549236794709, Timestamp: 1754490887695
Rotation: -6.259731114732455, Roll: -0.7101842034835166, Pitch: 27.850573429723934, Yaw: -14.138368444234908, Timestamp: 1754490887685
Rotation: -6.25918519211065, Roll: -0.7265107822246107, Pitch: 27.84370516297643, Yaw: -14.144089932956904, Timestamp: 1754490887675
Rotation: -6.258778468607409, Roll: -0.7382502149058312, Pitch: 27.825188229558663, Yaw: -14.144308246331594, Timestamp: 1754490887665
Rotation: -6.258527355803758, Roll: -0.7449022998863469, Pitch: 27.795152880114607, Yaw: -14.13726309590277, Timestamp: 1754490887655
Rotation: -6.258517258461593, Roll: -0.7439969868728634, Pitch: 27.756747897043, Yaw: -14.123165506450468, Timestamp: 1754490887645
Rotation: -6.258721888653705, Roll: -0.7365951883032622, Pitch: 27.717458803883734, Yaw: -14.102300162905474, Timestamp: 1754490887635
Rotation: -6.258951469868286, Roll: -0.7286700781941831, Pitch: 27.68481955311896, Yaw: -14.076162919873866, Timestamp: 1754490887625
Rotation: -6.259027487582118, Roll: -0.7257107102803412, Pitch: 27.662987541342083, Yaw: -14.04544519877933, Timestamp: 1754490887615
Rotation: -6.258902308916265, Roll: -0.7291180660210512, Pitch: 27.6515312974162, Yaw: -14.014398118889211, Timestamp: 1754490887605
Rotation: -6.258533838218151, Roll: -0.7401249788215869, Pitch: 27.649565052059778, Yaw: -13.984381724125743, Timestamp: 1754490887595
Rotation: -6.258214993753054, Roll: -0.749836408956776, Pitch: 27.653777104307586, Yaw: -13.956648353491186, Timestamp: 1754490887585
Rotation: -6.258322544749606, Roll: -0.7468354387993321, Pitch: 27.66103860681962, Yaw: -13.932490987088647, Timestamp: 1754490887576
Rotation: -6.259144918236171, Roll: -0.7223727494115694, Pitch: 27.669225689320214, Yaw: -13.915206962424236, Timestamp: 1754490887567
Rotation: -6.2606181121022155, Roll: -0.678327465117056, Pitch: 27.677544028475925, Yaw: -13.905480916571213, Timestamp: 1754490887555
Rotation: -6.262372886438218, Roll: -0.6257634169260031, Pitch: 27.685046421461575, Yaw: -13.899944360407556, Timestamp: 1754490887545
Rotation: -6.26409266241094, Roll: -0.5742662584490118, Pitch: 27.69432612829663, Yaw: -13.894868438464144, Timestamp: 1754490887535
Rotation: -6.265369079264323, Roll: -0.5361471261928203, Pitch: 27.706748206318586, Yaw: -13.890829866708215, Timestamp: 1754490887525
Rotation: -6.2659435085164725, Roll: -0.5191987174571098, Pitch: 27.722289419535105, Yaw: -13.889519762804358, Timestamp: 1754490887515
Rotation: -6.26576055410376, Roll: -0.525145487373436, Pitch: 27.74190317613465, Yaw: -13.893042967637529, Timestamp: 1754490887505
Rotation: -6.265037128487204, Roll: -0.5476243344569184, Pitch: 27.77085119522293, Yaw: -13.898393009118848, Timestamp: 1754490887495
Rotation: -6.2644897867072045, Roll: -0.5651261797473276, Pitch: 27.811925219146943, Yaw: -13.903300623890201, Timestamp: 1754490887485
Rotation: -6.264590706991794, Roll: -0.5633008504757931, Pitch: 27.86347709787905, Yaw: -13.90768999429903, Timestamp: 1754490887475
Rotation: -6.26545734809439, Roll: -0.5383259192443366, Pitch: 27.920105041733656, Yaw: -13.916793434973318, Timestamp: 1754490887465
Rotation: -6.266796281212808, Roll: -0.4988183860666884, Pitch: 27.975286421637527, Yaw: -13.931596385515457, Timestamp: 1754490887455
Rotation: -6.267960384825876, Roll: -0.46436220250699717, Pitch: 28.025517309011192, Yaw: -13.948458777386213, Timestamp: 1754490887445
Rotation: -6.269063904018643, Roll: -0.4315156278382009, Pitch: 28.070535126491865, Yaw: -13.964665719867034, Timestamp: 1754490887435
Rotation: -6.270061401408005, Roll: -0.401740421048389, Pitch: 28.11263676555243, Yaw: -13.978577448343678, Timestamp: 1754490887425
Rotation: -6.2707371966159275, Roll: -0.3816815056672969, Pitch: 28.152029677216124, Yaw: -13.988873955830593, Timestamp: 1754490887415
Rotation: -6.271011303473468, Roll: -0.37392392703624416, Pitch: 28.193387514702216, Yaw: -13.99356013684203, Timestamp: 1754490887405
Rotation: -6.27100938726076, Roll: -0.3747229791865305, Pitch: 28.24058608193954, Yaw: -13.988576083192191, Timestamp: 1754490887395
Rotation: -6.2710217616475195, Roll: -0.37520220169953805, Pitch: 28.29543347906928, Yaw: -13.974707050790705, Timestamp: 1754490887387
Rotation: -6.271295740493535, Roll: -0.3676197843574883, Pitch: 28.352117085413177, Yaw: -13.953964927732077, Timestamp: 1754490887380
Rotation: -6.271783934441771, Roll: -0.3533328377573363, Pitch: 28.407060573132064, Yaw: -13.931784350182062, Timestamp: 1754490887365
Rotation: -6.272049474191064, Roll: -0.3458057057042923, Pitch: 28.455866470904617, Yaw: -13.909375885057996, Timestamp: 1754490887355
Rotation: -6.272474334850661, Roll: -0.3331815617846223, Pitch: 28.497012921622876, Yaw: -13.886455325564095, Timestamp: 1754490887345
Rotation: -6.273071555512012, Roll: -0.3150363444495481, Pitch: 28.530125464313276, Yaw: -13.861009533733666, Timestamp: 1754490887335
Rotation: -6.273488714750702, Roll: -0.3023609054108883, Pitch: 28.55556823389686, Yaw: -13.83427840294265, Timestamp: 1754490887325
Rotation: -6.273747247065433, Roll: -0.2945230269417182, Pitch: 28.57389802161945, Yaw: -13.807501638846803, Timestamp: 1754490887315
Rotation: -6.273791190163763, Roll: -0.29328922791546774, Pitch: 28.585192811603918, Yaw: -13.782545462702103, Timestamp: 1754490887305
Rotation: -6.273546044919229, Roll: -0.30102159922834903, Pitch: 28.591453532118315, Yaw: -13.758521931308552, Timestamp: 1754490887295
Rotation: -6.273084389111343, Roll: -0.3154699369211866, Pitch: 28.593767288183034, Yaw: -13.736906775698431, Timestamp: 1754490887285
Rotation: -6.272564223470197, Roll: -0.3317044800504035, Pitch: 28.59285711912756, Yaw: -13.71700624260542, Timestamp: 1754490887275
Rotation: -6.272001919429963, Roll: -0.3492194972195944, Pitch: 28.58956288477272, Yaw: -13.699901148725294, Timestamp: 1754490887265
Rotation: -6.271540734166855, Roll: -0.3635268895383268, Pitch: 28.58324948527966, Yaw: -13.682570194415806, Timestamp: 1754490887255
Rotation: -6.27144806973352, Roll: -0.3662283277712131, Pitch: 28.570652654755307, Yaw: -13.667438110309702, Timestamp: 1754490887245
Rotation: -6.271724909744821, Roll: -0.35730992410488555, Pitch: 28.551842510947033, Yaw: -13.65686496894942, Timestamp: 1754490887235
Rotation: -6.272369523782123, Roll: -0.33684772125705703, Pitch: 28.52596354592456, Yaw: -13.653577501498953, Timestamp: 1754490887225
Rotation: -6.273232955795587, Roll: -0.3095581691261285, Pitch: 28.495193006359802, Yaw: -13.660271866551067, Timestamp: 1754490887215
Rotation: -6.27408318407851, Roll: -0.2827144329668667, Pitch: 28.461541764731074, Yaw: -13.67862569971456, Timestamp: 1754490887205
Rotation: -6.2747754223603405, Roll: -0.2608320222084179, Pitch: 28.42659982447242, Yaw: -13.706618415275868, Timestamp: 1754490887195
Rotation: -6.2754441351148955, Roll: -0.23978185067789778, Pitch: 28.395709551443794, Yaw: -13.74253886561331, Timestamp: 1754490887185
Rotation: -6.276065744417056, Roll: -0.22032430473593373, Pitch: 28.373696187661583, Yaw: -13.78523742709823, Timestamp: 1754490887175
Rotation: -6.276585429054607, Roll: -0.20412491047665737, Pitch: 28.360027308146588, Yaw: -13.834436808356495, Timestamp: 1754490887165
Rotation: -6.277219102176884, Roll: -0.18448409987085096, Pitch: 28.354624997072335, Yaw: -13.889236797472366, Timestamp: 1754490887155
