Rotation: -0.8998879680772229, Roll: 1.9137278492726433, Pitch: 1.5183523593237809, Yaw: -0.13906641280081974, Timestamp: 1754490653251
Rotation: -0.899912814613244, Roll: 1.9134117565205373, Pitch: 1.518024388261696, Yaw: -0.13911758140190045, Timestamp: 1754490653242
Rotation: -0.9000643678402795, Roll: 1.91311485267969, Pitch: 1.517316905001847, Yaw: -0.13922931874498884, Timestamp: 1754490653232
Rotation: -0.9000132487704415, Roll: 1.9129453875309506, Pitch: 1.5173418321723022, Yaw: -0.13932236209283755, Timestamp: 1754490653221
Rotation: -0.8999389585959228, Roll: 1.9127787575346444, Pitch: 1.5174412321761719, Yaw: -0.13937906413276654, Timestamp: 1754490653211
Rotation: -0.8998479326279152, Roll: 1.9127905034305805, Pitch: 1.5177340069203091, Yaw: -0.13950859952250605, Timestamp: 1754490653201
Rotation: -0.8999614372462825, Roll: 1.912666748162154, Pitch: 1.5172824179203435, Yaw: -0.14034527388178797, Timestamp: 1754490653191
Rotation: -0.9000849106903264, Roll: 1.9129010993644424, Pitch: 1.5170836240997088, Yaw: -0.1410598187554657, Timestamp: 1754490653181
Rotation: -0.9000992822491298, Roll: 1.912814927537406, Pitch: 1.5169706030423482, Yaw: -0.14114225552325835, Timestamp: 1754490653171
Rotation: -0.9000028721731117, Roll: 1.9126730696513536, Pitch: 1.517158349728184, Yaw: -0.14091253763560482, Timestamp: 1754490653161
Rotation: -0.9000394468298292, Roll: 1.9125503827500656, Pitch: 1.5169472761762126, Yaw: -0.14086534215194715, Timestamp: 1754490653151
Rotation: -0.9000297336631435, Roll: 1.9120983710252126, Pitch: 1.5166191901713666, Yaw: -0.1412297652189998, Timestamp: 1754490653141
Rotation: -0.8999953433749197, Roll: 1.9117766920427328, Pitch: 1.516471328308341, Yaw: -0.14120061638031217, Timestamp: 1754490653131
Rotation: -0.9000419666555803, Roll: 1.9116754324772258, Pitch: 1.5162460024947353, Yaw: -0.14162784745964907, Timestamp: 1754490653121
Rotation: -0.8998955212068109, Roll: 1.9114249263738623, Pitch: 1.5165034115215295, Yaw: -0.141655651834308, Timestamp: 1754490653111
Rotation: -0.8999308504620398, Roll: 1.9121063475183708, Pitch: 1.5169334644618697, Yaw: -0.1413546174579124, Timestamp: 1754490653101
Rotation: -0.9000198360737048, Roll: 1.9119008985098147, Pitch: 1.5164936293063809, Yaw: -0.1413995859989498, Timestamp: 1754490653091
Rotation: -0.9001814178095389, Roll: 1.9123015435146804, Pitch: 1.5163081315345717, Yaw: -0.1417298575711095, Timestamp: 1754490653081
